Twitter Username,TG Usernames
Magnus0G,MagnusOG
cryptonoach,CryptoNoach
lsdinmysoul,BizDegen
hemustdominate,hemustdominate
LaughNowXRP,Crypto_Jalen
UIheagwazi,recklessKitten1
user_hyp3,HYP3_X
johnmappin,John
bitcoinmlk,BitcoinMlk
naphboi,Naphboi
lfgooo,oglfgooo
answeristolove,FBIAGENTOFLOVE
DjGriffith,djgriffith
RastaCryptoMan,JosipRastaAI
FirstBroccoli,Burger77777777
KeredKrab,KingKrabKered
einsteinbtc1,einstein_87
cryptobullgreg,UpOnlyGregREAL
goatmatt999,GoatMatt
ghostoftanzcho,TanzCho
IAmNiqht,IAmNiqht
newtoneinsteinx,NewtonEinsteinX
mistooor,mistooor
real__reaper,
bulloracle10,sonicrypto10
Droneius,
ajax100x,Ajax100x
cryptoshark96,CryptoDman
maxv0508,Maxv0508
Greg_Dc_,Greg_DC_34
TheETHNomad,pixeljedi
FAT_HEAD_DAVE,FatHeadDave
freedomjackk,freedomjackk
BlackCatCrypto_,BlackCatCryptoFarmer
MarkC609,BrianBull609
cubicshade,cubicshade
mirocious,Mirocious
CryptoVIC619,CRYPTOVIC619
chengugotabs,teabagz
thebyzde,profesordelululation
stevecote1974,BitcoinCoffeeOscar
holdingmemes,holdmemetight
kevfckshllz741,xfuelx741
1800youretarded,igogalalala
CptZen88,MrPureofHeart
bluegrasshoppa,BlueGrasshoppa
obama_nastty,shiller690
Majorboi8,Smithmj3
gorillapump101,ARealG101
onedaysol,OneDaySOL
KonradMustDie,KonradMustDie
neutanent,neutanent1
8008doteth,
agentjerryl,AgentJerryL
CryptoCarl_XRP,CryptoCarl_XRP
